1;2014/09/20 16:00; 1   ;7;0; ;0;0
2;2014/10/04 17:00; 1   ;8;1; ;0;0
3;2014/10/11 15:15; 1   ;10;0; ;0;0
4;2014/11/08 17:00; 1   ;5;1; ;0;0
5;2014/11/22 16:30; 1   ;9;0; ;0;0
6;2014/11/29 16:30; 1   ;6;0; ;0;0
7;2014/12/06 17:00; 1   ;3;1; ;0;0
8;2014/12/13 16:00; 1   ;4;0; ;0;0
9;2015/01/10 17:00; 1   ;2;1; ;0;0
10;2015/02/07 15:00; 1   ;2;0; ;0;0
11;2015/02/14 17:00; 1   ;7;1; ;0;0
12;2015/03/14 17:00; 1   ;8;0; ;0;0
13;2015/03/21 17:00; 1   ;10;1; ;0;0
14;2015/03/28 15:30; 1   ;5;0; ;0;0
15;2015/04/11 17:00; 1   ;9;1; ;0;0
16;2015/04/18 17:00; 1   ;6;1; ;0;0
17;2015/05/16 15:15; 1   ;3;0; ;0;0
18;2015/05/30 17:00; 1   ;4;1; ;0;0
;;;;;;;
;;;;;;;
;;;;;;;
